Date,Time,State,PuFrom,Address,Street
2014.07.06,14:30,NY                                                                                                                           ,MANHATTAN,50,MURRAY ST           
2014.07.04,7:15,NY                                                                                                                           ,MANHATTAN,143,AVENUE B            
2014.07.05,5:45,NY                                                                                                                           ,MANHATTAN,125,CHRISTOPHER ST      
2014.07.06,4:30,NY                                                                                                                           ,MANHATTAN,217,E 7 ST              
2014.07.05,7:45,NY                                                                                                                           ,MANHATTAN,521,W 26 ST             
2014.07.06,8:45,NY                                                                                                                           ,MANHATTAN,110,BLEECKER ST         
2014.07.06,6:45,NY                                                                                                                           ,MANHATTAN,220,E 57 St             
2014.07.06,11:30,NY                                                                                                                           ,MANHATTAN,440,E 20 ST             
2014.07.03,12:00,NY                                                                                                                           ,QUEENS,2204,119 ST              
2014.07.03,13:00,NY                                                                                                                           ,MANHATTAN,286,E 10 ST             
2014.07.09,15:42,EWR US AIR OUTSIDE DOOR #8                                                                                                   ,EWR,      ,                    
2014.07.03,5:30,NY                                                                                                                           ,MANHATTAN,85,WEST ST             
2014.07.04,9:45,NY                                                                                                                           ,MANHATTAN,99,BATTERY PL          
2014.07.09,4:15,NY                                                                                                                           ,MANHATTAN,613,6 AVE               
2014.07.15,5:45,NY                                                                                                                           ,MANHATTAN,27,BETHUNE ST          
2014.07.11,4:15,NY                                                                                                                           ,MANHATTAN,117,SULLIVAN ST         
2014.07.04,6:15,NY                                                                                                                           ,MANHATTAN,411,E 57 St             
2014.07.12,4:00,NY                                                                                                                           ,MANHATTAN,200,2 AVE               
2014.07.10,8:00,NY                                                                                                                           ,QUEENS,27110,GRAND CENTRAL PKWY  
2014.07.16,6:00,NY                                                                                                                           ,MANHATTAN,9,STUYVESANT OVAL     
2014.07.07,9:00,NY                                                                                                                           ,MANHATTAN,102,1 AVE               
2014.07.07,6:50,JFK JET BLUE DOMESTIC PICK UP AREA 3                                                                                         ,,      ,                    
2014.07.10,6:00,NY                                                                                                                           ,MANHATTAN,218,AVENUE A            
2014.07.12,6:35,EWR UNITED PICK-UP AREA 3                                                                                                    ,,      ,                    
2014.07.09,8:02,EWR UNITED TERM C  AREA 3                                                                                                    ,,      ,                    
2014.07.13,7:00,NY                                                                                                                           ,MANHATTAN,113,CEDAR ST            
2014.08.09,7:45,NY                                                                                                                           ,MANHATTAN,103,WAVERLY PL          
2014.07.10,4:00,NY                                                                                                                           ,MANHATTAN,225,E 26 ST             
2014.07.15,4:00,NY                                                                                                                           ,MANHATTAN,451,BROOME ST           
2014.07.18,6:00,NY                                                                                                                           ,MANHATTAN,85,8 AVE               
2014.07.03,4:00,NY                                                                                                                           ,MANHATTAN,231,W 26 ST             
2014.07.16,4:45,NY                                                                                                                           ,MANHATTAN,30,E 30 ST             
2014.07.07,5:15,NY                                                                                                                           ,MANHATTAN,10,RUTGERS ST          
2014.07.09,17:00,NY                                                                                                                           ,MANHATTAN,130,5 AVE               
2014.07.09,13:15,NY                                                                                                                           ,MANHATTAN,200,W 72 ST             
2014.07.03,9:30,NY                                                                                                                           ,QUEENS,4615,CENTER BLVD         
2014.07.04,5:00,NY                                                                                                                           ,MANHATTAN,82,IRVING PL           
2014.07.07,4:15,NY                                                                                                                           ,MANHATTAN,244,E 21 St             
2014.07.14,5:00,NY                                                                                                                           ,MANHATTAN,36,GRAMERCY PK E       
2014.07.13,5:30,NY                                                                                                                           ,MANHATTAN,505,GREENWICH ST        
2014.07.13,7:46,JFK United Domestic Pickup Area A                                                                                            ,JFK,      ,                    
2014.07.18,8:45,NY                                                                                                                           ,QUEENS,2710,PARSONS BLVD        
2014.07.14,3:45,NY                                                                                                                           ,MANHATTAN,360,W 15 ST             
2014.07.14,7:30,NY                                                                                                                           ,MANHATTAN,666,WEST END AVE        
